X,Y,Z
-0,3942823;-0,7888066;0,06995239
-0,3432228;-0,7899491;0,0797348
-0,3515966;-0,7899491;0,08022004
-0,3431571;-0,7899491;0,08002167
-0,3440699;-0,7821221;0,02639313
-0,3935173;-0,7895932;0,08143616
-0,3530521;-0,7878613;0,007963561
-0,3936091;-0,7964446;0,07348786
-0,3514272;-0,7964446;0,07272797
-0,3524047;-0,7886609;0,01908417
-0,3511796;-0,7960886;0,07304841
-0,4017036;-0,7960886;0,07436676
-0,3590782;-0,7972136;0,08435517
-0,3521932;-0,7883272;0,01955109
-0,409343;-0,7968531;0,08589935
-0,3588164;-0,7968531;0,08469086
-0,3603752;-0,7879925;0,02025147
-0,318084;-0,7876588;0,01952515
-0,3582923;-0,796132;0,08535309
-0,3603323;-0,794535;0,01276245
-0,4004769;-0,8029823;0,07848664
-0,3079648;-0,8029823;0,07618256
-0,4016588;-0,7953038;0,02502594
-0,3581522;-0,8026218;0,07786255
-0,3497499;-0,8026218;0,07761383
-0,3597927;-0,80218;0,01623382
-0,4002776;-0,8094756;0,07124176
-0,3595937;-0,8018407;0,01641693
-0,3593946;-0,8015026;0,01659393
-0,3576842;-0,8170573;0,07323303
-0,357654;-0,8170573;0,07338257
-0,3594562;-0,8166828;0,01160126
-0,3572659;-0,8249896;0,07638397
-0,3566836;-0,8260617;0,08732605
-0,3585559;-0,8257043;0,02555694
-0,2660565;-0,8336383;0,02557526
-0,3496505;-0,8332825;0,02844086
-0,349882;-0,8401564;0,02050018
-0,3552268;-0,8493859;0,09652863
-0,3467174;-0,857657;0,0989029
-0,3544089;-0,8586896;0,1103119
-0,3984947;-0,8501455;0,04715271
-0,3629365;-0,8655311;0,102832
-0,3646015;-0,8580369;0,04918671
-0,3537364;-0,8661544;0,1135071
-0,3642108;-0,8659179;0,05219879
-0,3639922;-0,86554;0,05239411
-0,3613547;-0,8736002;0,1171799
-0,3606792;-0,874602;0,1281326
-0,3604687;-0,8828432;0,1309799
-0,3687069;-0,8828432;0,1316208
-0,4122973;-0,8753971;0,07941742
-0,328589;-0,8750054;0,07652436
-0,3288403;-0,8818612;0,0687317
-0,3759398;-0,8898291;0,1356857
-0,3752127;-0,8908043;0,1466538
-0,3861079;-0,8824444;0,0827118
-0,3838366;-0,889411;0,1367127
-0,3837806;-0,889411;0,1368729
-0,3947585;-0,8810774;0,0729477
-0,441659;-0,8889929;0,1399033
-0,4027792;-0,8806856;0,07368317
-0,3587784;-0,8876083;0,1260483
-0,4502248;-0,8876083;0,1302292
-0,4114533;-0,8793274;0,06395721
-0,367418;-0,8862282;0,1162933
-0,4588149;-0,8862282;0,1205795
-0,366766;-0,8789806;0,1246857
-0,4195428;-0,870726;0,06270295
-0,38655;-0,8775904;0,05362701
-0,3870683;-0,8762453;0,04317322
-0,4749881;-0,8840422;0,1123718
-0,3836579;-0,8840422;0,1081345
-0,432566;-0,8849997;0,1217178
-0,4823047;-0,8849997;0,1243607
-0,3909749;-0,8849997;0,1200088
-0,4350824;-0,8695772;0,06573486
-0,4405725;-0,8763898;0,1203751
-0,3941166;-0,8682405;0,05336914
-0,4410086;-0,8750316;0,1101563
-0,4325151;-0,8832321;0,1123993
-0,3944393;-0,8751096;0,04595184
-0,4312977;-0,8837714;0,1237579
-0,3807047;-0,8847111;0,1320129
-0,4220642;-0,8847111;0,1344315
-0,4220095;-0,8847111;0,1345993
-0,2930284;-0,8766144;0,06305695
-0,4178723;-0,8752918;0,05944367
-0,3642361;-0,8829522;0,1213394
-0,4128817;-0,8838832;0,1353683
-0,4046114;-0,8838832;0,1348648
-0,3549274;-0,8838832;0,1320572
-0,4083532;-0,8758397;0,07077026
-0,3545662;-0,8834692;0,1325241
-0,3876338;-0,8834692;0,1345108
-0,3957875;-0,8834692;0,1353561
-0,3461387;-0,8834692;0,1324081
-0,3915072;-0,875452;0,07055818
-0,3880652;-0,882133;0,1245453
-0,3416986;-0,875064;0,06771851
-0,3794922;-0,8817235;0,1243347
-0,3299107;-0,8817235;0,1212326
