x,y,z
-0,02734078;-0,05;-0,2369612
-0,02967389;-0,05;-0,2384086
-0,03286973;-0,05;-0,2386407
-0,034253;-0,05;-0,2387343
-0,03520077;-0,05;-0,2397792
-0,03792648;-0,05;-0,240072
-0,03928106;-0,05;-0,2400309
-0,04164704;-0,05;-0,2424351
-0,04522555;-0,05;-0,2423173
-0,04943754;-0,05;-0,244778
-0,05169363;-0,05;-0,2451682
-0,05671214;-0,05;-0,2458555
-0,05896289;-0,05;-0,2457593
-0,06075056;-0,05;-0,2456779
-0,06124714;-0,05;-0,2464641
-0,06172077;-0,05;-0,2467311
-0,0617668;-0,05;-0,2476476
-0,06367071;-0,05;-0,2489897
-0,06547186;-0,05;-0,2488878
-0,06683449;-0,05;-0,2489113
-0,07009652;-0,05;-0,2500167
-0,07235289;-0,05;-0,2498891
-0,07417809;-0,05;-0,2498921
-0,07744008;-0,05;-0,2509815
-0,07923666;-0,05;-0,2509785
-0,08109905;-0,05;-0,2515897
-0,0842891;-0,05;-0,2517277
-0,0861033;-0,05;-0,2517185
-0,08792877;-0,05;-0,2515856
-0,09121776;-0,05;-0,2529188
-0,09347405;-0,05;-0,252911
-0,09576055;-0,05;-0,2528387
-0,0995061;-0,05;-0,2539231
-0,1013297;-0,05;-0,2538883
-0,1028594;-0,05;-0,2552817
-0,1052436;-0,05;-0,2561585
